title,site,url,salary,salary_min,salary_max,currency,city,responsibility,requirement,date_publication
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52734870?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,40000,45000,руб.,,"Необходимо, Овощи: сажать, убирать и д.р....",Не указаны,
Разнорабочий на производство,https://hh.ru/,https://spb.hh.ru/vacancy/51905523?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,50000,55000,руб.,,"Обслуживание технологической установки: погрузочно-разгрузочные работы, поддержание порядка. Выполнение мелких поручений начальника производства.",Пунктуальность. Порядочность.,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52515185?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,140000,180000,KZT,,Работа по цеху связанная с упаковкой и печатной продукцией.,"Желание работать и развиваться, учиться и подниматься выше по карьерной лестнице. Желательно с опытом работы с печатной продукцией в рекламном...",
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/51663815?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,55000,0,руб.,,"Погрузочные, разгрузочные работы, работа с электроинструментом. Упаковка продукции для последующей отправки. Выполнение подсобных, вспомогательных работ.",Исполнительность. Пунктуальность.,
Рабочий подсобный,https://hh.ru/,https://spb.hh.ru/vacancy/44768331?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,35000,40000,руб.,,Не указаны,Не указаны,
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52676143?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,52000,52000,руб.,,"Погрузо-разгрузочные работы ( стеновые панели , подсистемы ). Перемещение готовой продукции нам территории склад.",Не указаны,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52811436?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,40000,40000,руб.,,Выполнение работ различного характера.,Не указаны,
Разнорабочий на стройку,https://hh.ru/,https://spb.hh.ru/vacancy/52556245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,45000,60000,руб.,,Работа на строительных площадках.,Не указаны,
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52793909?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,18000,0,руб.,,Чистка большого закрытого бассейна фитнес-клуба.,Умение плавать (!). Ответственность. Пунктуальность.,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52435184?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,50000,60000,руб.,,"Производство фундаментных блоков вибропрессовальной машиной, погрузочно-разгрузочные работы (стропаль), уборка территории, ремонт и помощь в ремонте автомобилей, работа на складе...","Бережное отношение, ответственность, приветствуются навыки в автослесарном деле, умение и желание работать.",
